step,type,name,x,y,z,vx,vy,vz,mass
10,heavy,Sun,-2.0683262252e+05,-7.1882328603e+05,-2.9574091408e+05,1.0631025576e-02,3.8157531124e-03,1.4112262770e-03,1.9884098713e+30
10,heavy,Mercury,-5.8344692782e+07,-2.3341272060e+07,-6.3555048893e+06,7.9663449498e+00,-3.7889305923e+01,-2.1065791116e+01,3.3010006368e+23
10,heavy,Venus,8.0424149074e+07,-6.5476840669e+07,-3.4536179679e+07,2.3296310049e+01,2.4089657984e+01,9.3662092854e+00,4.8673058148e+24
10,heavy,Earth,1.4571223669e+08,-3.5344752467e+07,-1.5306541495e+07,6.9959294745e+00,2.6369309097e+01,1.1431540742e+01,5.9721683987e+24
10,heavy,Moon,1.4546939401e+08,-3.5093756180e+07,-1.5186080675e+07,6.1834426339e+00,2.5779385424e+01,1.1075289316e+01,7.3457890715e+22
10,heavy,Mars,6.3287770635e+07,1.9976390289e+08,8.9948544776e+07,-2.2348651439e+01,7.7707001915e+00,4.1669477585e+00,6.4169086826e+23
10,heavy,Jupiter,-5.0267448826e+08,5.5840763166e+08,2.5159211096e+08,-1.0255457785e+01,-7.1448715810e+00,-2.8127853917e+00,1.8981246258e+27
10,heavy,Saturn,1.3893793423e+09,2.4857795166e+08,4.2831361534e+07,-2.2095382717e+00,8.7398029418e+00,3.7048208719e+00,5.6831737006e+26
10,heavy,Uranus,1.3476709703e+09,2.3675604648e+09,1.0178652825e+09,-6.0847874729e+00,2.5686044308e+00,1.2110109236e+00,8.6809872196e+25
10,heavy,Neptune,4.4639937438e+09,2.2150665169e+08,-2.0473837349e+07,-2.7233836127e-01,5.0543873269e+00,2.0755295324e+00,1.0240924097e+26
10,heavy,Pluto,2.9773774162e+09,-3.8797276327e+09,-2.1078177656e+09,4.6705515553e+00,2.3058635371e+00,-7.0230476745e-01,1.3024586848e+22
10,heavy,Phobos,6.3289624770e+07,1.9977243196e+08,8.9951952996e+07,-2.4226719802e+01,7.8055346509e+00,5.1900642493e+00,1.0618341998e+16
10,heavy,Deimos,6.3270169787e+07,1.9974841406e+08,8.9949321215e+07,-2.1642151204e+01,6.9278683135e+00,3.3819309800e+00,1.4413496546e+15
10,heavy,Io,-5.0309466009e+08,5.5836451570e+08,2.5156488802e+08,-8.2266777309e+00,-2.2641152427e+01,-1.0175102375e+01,8.9296495513e+22
10,heavy,Europa,-5.0292497406e+08,5.5897497836e+08,2.5185312976e+08,-2.2926892383e+01,-1.1756868760e+01,-5.2637974434e+00,4.7986140869e+22
10,heavy,Ganymede,-5.0163775710e+08,5.5817027342e+08,2.5149503057e+08,-7.6429143332e+00,2.3834410129e+00,1.8004732090e+00,1.4814788068e+23
10,heavy,Callisto,-5.0278653659e+08,5.6010672762e+08,2.5239117941e+08,-1.8455301835e+01,-7.4875906270e+00,-3.0962762098e+00,1.0756617173e+23
10,heavy,Mimas,1.3894315341e+09,2.4875729343e+08,4.2816092418e+07,-1.5727107711e+01,1.2970767957e+01,4.2127898575e+00,3.7491572150e+19
10,heavy,Enceladus,1.3892501255e+09,2.4877862093e+08,4.2827715175e+07,-1.2773128450e+01,2.0201821715e+00,5.1076365446e+00,1.0802630988e+20
10,heavy,Tethys,1.3896630574e+09,2.4865370942e+08,4.2806563917e+07,-5.1841181962e+00,1.9675055364e+01,3.0699123287e+00,6.1744302773e+20
10,heavy,Dione,1.3895693455e+09,2.4890070395e+08,4.2791416053e+07,-1.0847849564e+01,1.3860520833e+01,4.0706923769e+00,1.0954856689e+21
10,heavy,Rhea,1.3897660457e+09,2.4893063115e+08,4.2771733560e+07,-7.9261383800e+00,1.5016356960e+01,3.6889764724e+00,2.3064890700e+21
10,heavy,Titan,1.3886427813e+09,2.4759399560e+08,4.2962642922e+07,2.2717630174e+00,5.5426229881e+00,3.5221945356e+00,1.3451807680e+23
10,heavy,Hyperion,1.3893153757e+09,2.5017366914e+08,4.2746597925e+07,-6.8509066243e+00,8.2972563769e+00,4.1147393903e+00,5.5736182072e+18
10,heavy,Iapetus,1.3858325686e+09,2.4899575572e+08,4.3614762897e+07,-2.7134777760e+00,5.6372579700e+00,3.2310833843e+00,1.8042341519e+21
10,heavy,Phoebe,1.3998115756e+09,2.4392257096e+08,3.9408084065e+07,-3.3082183467e+00,7.3213593385e+00,3.2454939242e+00,8.2705302429e+18
10,heavy,Ariel,1.3475778984e+09,2.3676242103e+09,1.0177113038e+09,-1.0752831330e+01,2.8063900874e+00,4.1294169360e+00,1.2945177771e+21
10,heavy,Umbriel,1.3478036230e+09,2.3675945779e+09,1.0176360030e+09,-9.9985491405e+00,4.0142359503e+00,-8.3827799653e-01,1.2735417946e+21
10,heavy,Titania,1.3479492885e+09,2.3674138030e+09,1.0181682707e+09,-3.3886104208e+00,2.6392931247e+00,-1.2335852569e+00,3.5284599134e+21
10,heavy,Oberon,1.3471362935e+09,2.3677262871e+09,1.0176969226e+09,-7.1740939904e+00,2.0165676784e+00,4.1095839090e+00,2.8826993093e+21
10,heavy,Miranda,1.3477380197e+09,2.3675693701e+09,1.0177542492e+09,-1.1471640376e+01,5.0493958168e+00,-1.8456977957e+00,6.5924516429e+19
10,heavy,Triton,4.4641217708e+09,2.2144559544e+08,-2.0799054069e+07,-3.6482591632e+00,2.3733924764e+00,1.2497190464e+00,2.1389509012e+22
10,heavy,Nereid,4.4639697935e+09,2.2937957671e+08,-1.6417096931e+07,-7.3314454348e-01,4.7970964985e+00,1.9133198685e+00,5.9931378572e+16
10,heavy,Charon,2.9773692875e+09,-3.8797374433e+09,-2.1078326579e+09,4.5351838678e+00,2.2009799713e+00,-5.5934309738e-01,1.5863835908e+21
10,heavy,Styx,2.9774052478e+09,-3.8796982343e+09,-2.1077946890e+09,4.7182023662e+00,2.3345103442e+00,-8.0831820368e-01,1.4982844643e+16
10,heavy,Nix,2.9773685769e+09,-3.8797451030e+09,-2.1078813302e+09,4.5666799640e+00,2.2154755925e+00,-6.5467056600e-01,4.4948533929e+16
10,heavy,Kerberos,2.9773817881e+09,-3.8797329290e+09,-2.1078769253e+09,4.5604877508e+00,2.2059060850e+00,-6.8812869082e-01,1.4982844643e+15
10,heavy,Hydra,2.9773466658e+09,-3.8797578571e+09,-2.1078280420e+09,4.6195061379e+00,2.2824285381e+00,-5.3955822398e-01,1.4982844643e+16
