name,designation,full_name,spkid,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,diameter_km,radius_km,H,neo,pha,orbit_class
Ceres,1,     1 Ceres (A801 AA),20000001,2026-09-08 12:00:00,77059438.28841694,362465372.3112554,155282806.0857086,-17.95210478530308,0.6062829552237128,3.942498742980164,62.6284,9.3835158743239e+20,939.4,469.7,3.34,N,N,MBA
Pallas,2,     2 Pallas (A802 FA),20000002,2026-09-08 12:00:00,417431834.1395676,88040582.18729113,-48284488.8261874,-7.568802834161551,15.2918650358916,-2.500375833369447,13.63,2.0421617248250754e+20,513.0,256.5,4.12,N,N,MBA
Juno,3,     3 Juno (A804 RA),20000003,2026-09-08 12:00:00,268118504.0644923,-292499877.3151883,-66030465.17513754,9.940320079426014,14.97089607152393,2.414048159552346,,,246.596,123.298,5.19,N,N,MBA
Vesta,4,     4 Vesta (A807 FA),20000004,2026-09-08 12:00:00,355196218.5190117,79372593.73355238,-14930156.54464165,-1.958499498888534,17.25143693882672,7.136708174846039,17.2882844,2.5902767930719325e+20,522.77,261.385,3.25,N,N,MBA
Astraea,5,     5 Astraea (A845 XA),20000005,2026-09-08 12:00:00,417403502.7452826,-158229593.434826,-81073324.88286339,5.072037114330742,13.95105709615485,4.557481075296312,,,106.699,53.3495,6.95,N,N,MBA
Hebe,6,     6 Hebe (A847 NA),20000006,2026-09-08 12:00:00,-123883308.7135518,314211119.0790316,89827613.30117689,-19.24888395468185,-3.88822491509287,2.517432208576651,,,185.18,92.59,5.62,N,N,MBA
Iris,7,     7 Iris (A847 PA),20000007,2026-09-08 12:00:00,-402333705.1728318,-110623180.3991376,-86979650.76731698,3.047150482649821,-14.49141045388841,-5.66966072293711,,,199.83,99.915,5.70,N,N,MBA
Flora,8,     8 Flora (A847 UA),20000008,2026-09-08 12:00:00,185401971.0486304,-238942975.7841856,-112552349.2800618,14.6352440568606,13.85364762204743,3.898746422287414,,,147.491,73.7455,6.62,N,N,MBA
Metis,9,     9 Metis (A848 HA),20000009,2026-09-08 12:00:00,328786241.9747239,-110003023.3096673,-85484747.04289255,5.057127233514747,16.99942784767914,7.583120215113511,,,190.0,95.0,6.18,N,N,MBA
Hygiea,10,    10 Hygiea (A849 GA),20000010,2026-09-08 12:00:00,-317424425.5784991,333512811.5668246,127999179.8334531,-11.09579470896191,-10.84053006822698,-5.690634938616369,7.0,1.0487991250018728e+20,407.12,203.56,5.65,N,N,MBA
Parthenope,11,    11 Parthenope (A850 JA),20000011,2026-09-08 12:00:00,-359290078.4635434,-133065384.1583638,-25092768.31232655,7.789297134128694,-15.1681518736122,-6.29400507657429,,,142.887,71.4435,6.73,N,N,MBA
Victoria,12,    12 Victoria (A850 RA),20000012,2026-09-08 12:00:00,-142055233.1055946,380966612.5303137,110514775.2987242,-15.07518082697132,-3.454910549902134,-3.085984221460851,,,115.087,57.5435,7.30,N,N,MBA
Egeria,13,    13 Egeria (A850 VA),20000013,2026-09-08 12:00:00,-194492572.2067607,-304747603.3699237,-170900216.8693938,14.54630852279583,-6.487168645539106,-8.20291958227804,,,202.636,101.318,6.92,N,N,MBA
Irene,14,    14 Irene (A851 KA),20000014,2026-09-08 12:00:00,97961362.07030834,-337220292.3092681,-167913548.2346728,18.14571324751556,2.792125395150915,-1.936505079269607,,,152.0,76.0,6.55,N,N,MBA
Eunomia,15,    15 Eunomia (A851 OA),20000015,2026-09-08 12:00:00,-390110182.4662629,-186749057.972919,-183976768.1651629,7.980466193949079,-12.00595285053807,-4.675557041832272,,,231.689,115.8445,5.42,N,N,MBA
Psyche,16,    16 Psyche (A852 FA),20000016,2026-09-08 12:00:00,-307144436.6331652,308088478.6621952,125620057.9504268,-13.72797718230194,-9.17270272833863,-3.078172595959803,1.601,2.398753427325712e+19,222.0,111.0,6.20,N,N,MBA
Thetis,17,    17 Thetis (A852 HA),20000017,2026-09-08 12:00:00,-338274813.6011686,149365657.8972141,83561509.78557478,-6.050062769904435,-16.52844603413932,-5.561365436420914,,,84.899,42.4495,7.91,N,N,MBA
Melpomene,18,    18 Melpomene (A852 MA),20000018,2026-09-08 12:00:00,179956273.767626,-237066879.7914588,-78200376.40316859,14.82666117259214,15.82347292596747,2.787874374449975,,,139.594,69.797,6.35,N,N,MBA
Fortuna,19,    19 Fortuna (A852 QA),20000019,2026-09-08 12:00:00,-375147492.5699829,-179230070.4581123,-78468567.66855125,7.229327815480318,-13.54661548066655,-5.388001135602369,,,200.0,100.0,7.49,N,N,MBA
Massalia,20,    20 Massalia (A852 SA),20000020,2026-09-08 12:00:00,-270644932.3061597,-248352937.2831877,-105988101.1630543,10.9827224709137,-13.27354427054114,-5.515804013629311,,,135.68,67.84,6.54,N,N,MBA
Lutetia,21,    21 Lutetia (A852 VA),20000021,2026-09-08 12:00:00,53474435.19479466,-288889653.5692195,-131265690.2932105,20.6235802771415,5.949592453542765,1.447831119544719,0.1134,1.699054582503034e+18,98.0,49.0,7.48,N,N,MBA
