spkid,full_name,pdes,name,kind,neo,pha,class,H,diameter_km,gm_km3_s2
20000001,     1 Ceres (A801 AA),1,Ceres,an,N,N,MBA,3.34,939.4,62.6284
20000002,     2 Pallas (A802 FA),2,Pallas,an,N,N,MBA,4.12,513,13.63
20000003,     3 Juno (A804 RA),3,Juno,an,N,N,MBA,5.19,246.596,
20000004,     4 Vesta (A807 FA),4,Vesta,an,N,N,MBA,3.25,522.77,17.2882844
20000005,     5 Astraea (A845 XA),5,Astraea,an,N,N,MBA,6.95,106.699,
20000006,     6 Hebe (A847 NA),6,Hebe,an,N,N,MBA,5.62,185.18,
20000007,     7 Iris (A847 PA),7,Iris,an,N,N,MBA,5.70,199.83,
20000008,     8 Flora (A847 UA),8,Flora,an,N,N,MBA,6.62,147.491,
20000009,     9 Metis (A848 HA),9,Metis,an,N,N,MBA,6.18,190,
20000010,    10 Hygiea (A849 GA),10,Hygiea,an,N,N,MBA,5.65,407.12,7.
20000011,    11 Parthenope (A850 JA),11,Parthenope,an,N,N,MBA,6.73,142.887,
20000012,    12 Victoria (A850 RA),12,Victoria,an,N,N,MBA,7.30,115.087,
20000013,    13 Egeria (A850 VA),13,Egeria,an,N,N,MBA,6.92,202.636,
20000014,    14 Irene (A851 KA),14,Irene,an,N,N,MBA,6.55,152,
20000015,    15 Eunomia (A851 OA),15,Eunomia,an,N,N,MBA,5.42,231.689,
20000016,    16 Psyche (A852 FA),16,Psyche,an,N,N,MBA,6.20,222,1.601
20000017,    17 Thetis (A852 HA),17,Thetis,an,N,N,MBA,7.91,84.899,
20000018,    18 Melpomene (A852 MA),18,Melpomene,an,N,N,MBA,6.35,139.594,
20000019,    19 Fortuna (A852 QA),19,Fortuna,an,N,N,MBA,7.49,200,
20000020,    20 Massalia (A852 SA),20,Massalia,an,N,N,MBA,6.54,135.680,
20000021,    21 Lutetia (A852 VA),21,Lutetia,an,N,N,MBA,7.48,98,0.1134
20000022,    22 Kalliope (A852 WA),22,Kalliope,an,N,N,MBA,6.79,167.536,0.491
20000023,    23 Thalia (A852 XA),23,Thalia,an,N,N,MBA,7.08,107.53,
20000024,    24 Themis (A853 GA),24,Themis,an,N,N,MBA,7.21,198,
20000025,    25 Phocaea (A853 GB),25,Phocaea,an,N,N,MBA,7.88,61.054,
20000026,    26 Proserpina (A853 JA),26,Proserpina,an,N,N,MBA,7.48,94.80,
20000027,    27 Euterpe (A853 VA),27,Euterpe,an,N,N,MBA,7.03,96,
20000028,    28 Bellona (A854 EA),28,Bellona,an,N,N,MBA,7.21,120.90,
20000029,    29 Amphitrite (A854 EB),29,Amphitrite,an,N,N,MBA,5.97,189.559,
20000030,    30 Urania (A854 OA),30,Urania,an,N,N,MBA,7.57,92.787,
20000031,    31 Euphrosyne (A854 RA),31,Euphrosyne,an,N,N,MBA,6.83,267.080,
20000032,    32 Pomona (A854 UA),32,Pomona,an,N,N,MBA,7.75,80.76,
20000033,    33 Polyhymnia (A854 UB),33,Polyhymnia,an,N,N,MBA,8.46,52.929,
20000034,    34 Circe (A855 GA),34,Circe,an,N,N,MBA,8.75,132.992,
20000035,    35 Leukothea (A855 HA),35,Leukothea,an,N,N,MBA,8.68,103.055,
20000036,    36 Atalante (A855 TA),36,Atalante,an,N,N,MBA,8.53,132.842,
20000037,    37 Fides (A855 TB),37,Fides,an,N,N,MBA,7.29,108.35,
20000038,    38 Leda (A856 AA),38,Leda,an,N,N,MBA,8.51,92.255,
20000039,    39 Laetitia (A856 CA),39,Laetitia,an,N,N,MBA,5.97,179.484,
20000040,    40 Harmonia (A856 FA),40,Harmonia,an,N,N,MBA,6.57,111.251,
20000041,    41 Daphne (A856 KA),41,Daphne,an,N,N,MBA,7.58,205.495,
20000042,    42 Isis (A856 KB),42,Isis,an,N,N,MBA,7.69,110.997,
20000043,    43 Ariadne (A857 GA),43,Ariadne,an,N,N,MBA,7.92,71.340,
20000044,    44 Nysa (A857 KA),44,Nysa,an,N,N,MBA,6.75,70.64,
20000045,    45 Eugenia (A857 MA),45,Eugenia,an,N,N,MBA,7.74,202.327,
20000046,    46 Hestia (A857 QA),46,Hestia,an,N,N,MBA,8.52,131.471,
20000047,    47 Aglaja (A857 RA),47,Aglaja,an,N,N,MBA,8.14,168.174,
20000048,    48 Doris (A857 SA),48,Doris,an,N,N,MBA,7.10,216.473,
20000049,    49 Pales (A857 SB),49,Pales,an,N,N,MBA,7.99,166.252,
20000050,    50 Virginia (A857 TA),50,Virginia,an,N,N,MBA,9.43,84.074,
20000051,    51 Nemausa (A858 BA),51,Nemausa,an,N,N,MBA,7.72,138.159,
20000052,    52 Europa (A858 CA),52,Europa,an,N,N,MBA,6.65,303.918,
20000053,    53 Kalypso (A858 GA),53,Kalypso,an,N,N,MBA,8.88,97.262,
20000054,    54 Alexandra (A858 RA),54,Alexandra,an,N,N,MBA,7.94,160.120,
20000055,    55 Pandora (A858 RB),55,Pandora,an,N,N,MBA,7.82,84.794,
20000056,    56 Melete (A857 RB),56,Melete,an,N,N,MBA,8.51,121.333,
20000057,    57 Mnemosyne (A859 SA),57,Mnemosyne,an,N,N,MBA,6.93,112.59,
20000058,    58 Concordia (A860 FA),58,Concordia,an,N,N,MBA,9.03,106.517,
20000059,    59 Elpis (A860 RA),59,Elpis,an,N,N,MBA,8.08,165.119,
20000060,    60 Echo (A860 RB),60,Echo,an,N,N,MBA,8.63,43.218,
20000061,    61 Danae (A860 RC),61,Danae,an,N,N,MBA,7.73,85.937,
20000062,    62 Erato (A860 RD),62,Erato,an,N,N,MBA,8.89,106.921,
20000063,    63 Ausonia (A861 CA),63,Ausonia,an,N,N,MBA,7.15,116.044,
20000064,    64 Angelina (A861 EA),64,Angelina,an,N,N,MBA,7.72,58.292,
20000065,    65 Cybele (A861 EB),65,Cybele,an,N,N,OMB,6.83,237.26,
20000066,    66 Maja (A861 GA),66,Maja,an,N,N,MBA,9.53,71.82,
20000067,    67 Asia (A861 HA),67,Asia,an,N,N,MBA,8.37,56.309,
20000068,    68 Leto (A861 HB),68,Leto,an,N,N,MBA,6.90,122.509,
20000069,    69 Hesperia (A861 HC),69,Hesperia,an,N,N,MBA,7.21,138.13,
20000070,    70 Panopaea (A861 JA),70,Panopaea,an,N,N,MBA,8.16,127.911,
20000071,    71 Niobe (A861 PA),71,Niobe,an,N,N,MBA,7.23,83.42,
20000072,    72 Feronia (A861 KA),72,Feronia,an,N,N,MBA,9.08,74.966,
20000073,    73 Klytia (A862 GA),73,Klytia,an,N,N,MBA,9.04,44.590,
20000074,    74 Galatea (A862 QA),74,Galatea,an,N,N,MBA,8.90,118.71,
20000075,    75 Eurydike (A862 SA),75,Eurydike,an,N,N,MBA,9.22,62.377,
20000076,    76 Freia (A862 UA),76,Freia,an,N,N,OMB,8.00,145.423,
20000077,    77 Frigga (A862 VA),77,Frigga,an,N,N,MBA,8.58,61.390,
20000078,    78 Diana (A863 EA),78,Diana,an,N,N,MBA,8.39,120.60,
20000079,    79 Eurynome (A863 RA),79,Eurynome,an,N,N,MBA,7.78,63.479,
20000080,    80 Sappho (A864 JA),80,Sappho,an,N,N,MBA,8.06,68.563,
20000081,    81 Terpsichore (A864 SA),81,Terpsichore,an,N,N,MBA,8.66,117.727,
20000082,    82 Alkmene (A864 WA),82,Alkmene,an,N,N,MBA,8.26,57.621,
20000083,    83 Beatrix (A865 HA),83,Beatrix,an,N,N,MBA,8.73,110.503,
20000084,    84 Klio (A865 QA),84,Klio,an,N,N,MBA,9.33,79.16,
20000085,    85 Io (A865 SA),85,Io,an,N,N,MBA,7.93,154.79,
20000086,    86 Semele (A866 AA),86,Semele,an,N,N,MBA,8.71,109.929,
20000087,    87 Sylvia (A866 KA),87,Sylvia,an,N,N,OMB,6.93,253.051,
20000088,    88 Thisbe (A866 LA),88,Thisbe,an,N,N,MBA,7.24,232,
20000089,    89 Julia (A866 PA),89,Julia,an,N,N,MBA,6.39,145.483,
20000090,    90 Antiope (A866 TA),90,Antiope,an,N,N,MBA,8.42,115.974,
20000091,    91 Aegina (A866 VA),91,Aegina,an,N,N,MBA,9.12,103.402,
20000092,    92 Undina (A867 NA),92,Undina,an,N,N,MBA,6.74,126.42,
20000093,    93 Minerva (A867 QA),93,Minerva,an,N,N,MBA,7.88,154.155,
20000094,    94 Aurora (A867 RA),94,Aurora,an,N,N,MBA,7.70,204.89,
20000095,    95 Arethusa (A867 WA),95,Arethusa,an,N,N,MBA,7.96,147.969,
20000096,    96 Aegle (A868 DA),96,Aegle,an,N,N,MBA,7.66,177.774,
20000097,    97 Klotho (A868 DB),97,Klotho,an,N,N,MBA,7.78,100.717,
