"full_name","epoch","e","a","i","om","w","ma","per"
"    1P/Halley",2439875.5,0.9679,17.93,162.19,59.10,112.24,274.38,2.77e+04
"    2P/Encke",2459897.5,0.8475,2.22,11.38,334.14,187.18,257.98,1.21e+03
"    3D/Biela",2390520.5,0.7513,3.535,13.22,250.67,221.66,0.95,2.43e+03
"    4P/Faye",2458523.5,0.5845,3.798,8.16,194.79,206.00,234.86,2.7e+03
"    5D/Brorsen",2407440.5,0.8098,3.101,29.38,102.97,14.95,0.17,1.99e+03
"    6P/d'Arrest",2459302.5,0.6127,3.497,19.51,138.94,178.11,333.96,2.39e+03
"    7P/Pons-Winnecke",2457170.5,0.6376,3.419,22.33,93.41,172.51,18.31,2.31e+03
"    8P/Tuttle",2454701.5,0.8198,5.7,54.98,270.34,207.51,15.13,4.97e+03
"    9P/Tempel 1",2457470.5,0.5097,3.146,10.47,68.75,179.20,336.59,2.04e+03
"   10P/Tempel 2",2457836.5,0.5374,3.063,12.03,117.80,195.52,91.14,1.96e+03
"   11P/Tempel-Swift-LINEAR",2458859.5,0.5773,3.286,14.43,238.96,167.84,307.04,2.18e+03
"   12P/Pons-Brooks",2460211.5,0.9546,17.18,74.19,255.86,198.99,357.09,2.6e+04
"   13P/Olbers",2459193.5,0.9297,16.69,44.62,85.87,64.51,341.22,2.49e+04
"   14P/Wolf",2456689.5,0.3560,4.252,27.92,202.13,159.22,202.55,3.2e+03
"   15P/Finlay",2457327.5,0.7202,3.49,6.80,13.75,347.63,46.69,2.38e+03
"   16P/Brooks 2",2457551.5,0.5690,3.375,4.31,159.34,220.17,115.79,2.26e+03
"   17P/Holmes",2457680.5,0.4302,3.626,19.07,326.77,24.74,133.79,2.52e+03
"   18D/Perrine-Mrkos",2440240.5,0.6426,3.56,17.76,240.88,166.05,11.51,2.45e+03
"   19P/Borrelly",2459286.5,0.6379,3.607,29.32,74.30,351.86,313.13,2.5e+03
"   20D/Westphal",2420080.5,0.9198,15.64,40.89,348.01,57.08,359.72,2.26e+04
