name,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,radius_km
Sun,2026-09-08 12:00:00,-206839.6390153642,-718825.8044021764,-295741.8454810132,0.01063107568174186,0.003815670978600796,0.00141119045449374,132712440041.939,1.9884098713264163e+30,695700.0
Mercury,2026-09-08 12:00:00,-58349943.7438976,-23316262.46342383,-6341600.756327953,7.945660258352314,-37.89735000604871,-21.06794457975582,22031.86855,3.3010006367708975e+23,2439.4
Venus,2026-09-08 12:00:00,80408771.70645824,-65492738.39542991,-34542360.61114384,23.30177247469899,24.08526984500154,9.36388916091163,324858.592,4.867305814842006e+24,6051.8
Earth,2026-09-08 12:00:00,145707618.1373574,-35362155.91318786,-15314086.18264104,6.999678002584351,26.36840689373965,11.43114887793699,398600.435436,5.972168398723462e+24,6371.0084
Moon,2026-09-08 12:00:00,145465312.1145381,-35110770.71437546,-15193390.4468674,6.185926360827324,25.77981107572273,11.07553510910223,4902.8,7.345789071513118e+22,1737.4
Mars,2026-09-08 12:00:00,63302520.5921478,199758773.7456176,89945794.37258828,-22.34818718440188,7.772165380299191,4.167607290742313,42828.37362,6.41690868255847e+23,3389.5
Jupiter,2026-09-08 12:00:00,-502667719.6338945,558412347.2394191,251593967.3837657,-10.25552804409073,-7.144775196249547,-2.812741686529135,126686531.9,1.8981246258034552e+27,69911.0
Saturn,2026-09-08 12:00:00,1389380800.605978,248572183.3890597,42828916.35143963,-2.209493450120663,8.739813043707198,3.704821905555827,37931206.23,5.683173700612798e+26,58232.0
Uranus,2026-09-08 12:00:00,1347674986.227443,2367558769.558968,1017864483.219269,-6.084782582021679,2.568612406103255,1.211016181556393,5793951.3,8.68098721963352e+25,25362.0
Neptune,2026-09-08 12:00:00,4463993923.575661,221503315.789483,-20475207.20030531,-0.2723367006437892,5.054388813835414,2.075536367064535,6835099.97,1.024092409690904e+26,24622.0
Pluto,2026-09-08 12:00:00,2977374333.609577,-3879729154.630963,-2107817302.144504,4.670628326904694,2.305952032695515,-0.7021673109494923,869.3,1.3024586848058972e+22,1188.3
Phobos,2026-09-08 12:00:00,63305588.52630945,199767183.1665263,89948491.23489448,-24.14122406322682,8.099537975477364,5.296149283882706,0.0007087,1.061834199841182e+16,11.08
